Time,Latitude,Longitude,Unit,Operator,Technology,Service,Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-22 17:19:14.801000-05:00,41.6981,-86.234716,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,7.527,1061.991,1268.952,7280.176,1492.688,5562.008,1268.952,7280.176,,999201.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl
2025-11-22 17:21:13.234000-05:00,41.698108,-86.2347,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.917,1351.479,786.944,3961.24,8422.424,16657.24,786.944,3961.24,,999588.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6135.0,Bowl
2025-11-22 17:22:07.997000-05:00,41.698983,-86.234365,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.696,1403.274,882.904,7137.104,2699.168,4537.68,882.904,7137.104,,999131.0,Instagram,Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 17:23:12.450000-05:00,41.698359,-86.233365,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,3.86,2071.399,2513.472,13412.328,3661.6,10777.344,2513.472,13412.328,,999450.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 17:24:23.732000-05:00,41.698972,-86.234353,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.312,1504.364,1126.368,5375.968,9059.448,15870.808,1126.368,5375.968,,998898.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,LTE,6295.0,Bowl
2025-11-22 17:26:33.428000-05:00,41.698364,-86.233362,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,17.269,462.794,1427.944,4289.592,3271.432,10983.456,1427.944,4289.592,,998999.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6375.0,Bowl
2025-11-22 17:28:27.003000-05:00,41.697946,-86.233352,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.645,1415.916,1092.888,5474.464,8721.08,14009.984,1092.888,5474.464,,999106.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6615.0,Bowl
2025-11-22 17:28:31.264000-05:00,41.699156,-86.234552,QualiPoc_361786,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.324,1500.852,693.832,5161.76,2611.368,3671.72,693.832,5161.76,,998817.0,Instagram,Send,Completed,Bowl,a0654bd3,AT&T,LTE,,Bowl
2025-11-22 17:28:59.713000-05:00,41.698348,-86.233213,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,6.67,1198.515,1641.52,5186.072,5411.24,12091.272,1641.52,5186.072,,999262.0,Instagram,Send,Completed,Bowl,64957d65,T-Mobile,NR,,Bowl
2025-11-22 17:30:40.172000-05:00,41.698338,-86.233215,QualiPoc_619529,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,4.711,1695.963,2240.912,5458.4,2864.576,17880.592,2240.912,5458.4,,998710.0,Instagram,Send,Completed,Bowl,64957d65,Wi-Fi 6,NR,6695.0,Bowl
