Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Send Duration,Delivery Duration,Start Time,Receive Time,Transmission Status,Delivery Status,Delivery Notification,Action Type,File Size,Measurement Name,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:32:11.393000-05:00,41.698474,-86.233416,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.158,1.392,2026-02-26 12:32:09.194,,Successful,Successful,Enabled,Send Picture,999508.0,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6035.0,Bowl,Verizon
2026-02-26 12:32:16.208000-05:00,41.69797,-86.233114,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.447,1.56,2026-02-26 12:32:13.874,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6615.0,Bowl,T-Mobile
2026-02-26 12:32:26.914000-05:00,41.69797,-86.233114,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.599,2.269,2026-02-26 12:32:23.890,,Successful,Successful,Enabled,Send Picture,999358.0,WhatsApp Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6615.0,Bowl,T-Mobile
2026-02-26 12:34:25.988000-05:00,41.697956,-86.233138,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,0.242,0.714,2026-02-26 12:34:24.767,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:34:35.381000-05:00,41.697963,-86.233148,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,1.254,1.485,2026-02-26 12:34:33.317,,Successful,Successful,Enabled,Send Picture,998949.0,WhatsApp Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:35:39.363000-05:00,41.698464,-86.233129,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.223,2.086,2026-02-26 12:35:36.977,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:35:41.994000-05:00,41.698462,-86.233155,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.33,0.564,2026-02-26 12:35:40.850,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:35:49.070000-05:00,41.698464,-86.233129,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.267,2.868,2026-02-26 12:35:45.893,,Successful,Successful,Enabled,Send Picture,998969.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:35:52.098000-05:00,41.698458,-86.233161,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.413,2.058,2026-02-26 12:35:49.472,,Successful,Successful,Enabled,Send Picture,998978.0,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:37:23.506000-05:00,41.698461,-86.233139,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.423,2.206,2026-02-26 12:37:21.055,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6675.0,Bowl,AT&T
2026-02-26 12:37:33.010000-05:00,41.698461,-86.233139,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.124,2.641,2026-02-26 12:37:30.060,,Successful,Successful,Enabled,Send Picture,999153.0,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6675.0,Bowl,AT&T
2026-02-26 12:40:41.333000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.244,1.631,2026-02-26 12:40:39.067,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:40:51.242000-05:00,41.697977,-86.23321,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.531,1.822,2026-02-26 12:40:48.813,,Successful,Successful,Enabled,Send Picture,999020.0,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:41:07.767000-05:00,41.697967,-86.233141,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.29,1.668,2026-02-26 12:41:05.816,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:41:17.956000-05:00,41.697966,-86.233141,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.481,3.366,2026-02-26 12:41:14.320,,Successful,Successful,Enabled,Send Picture,999133.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:42:49.191000-05:00,41.697959,-86.233151,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.422,2.1,2026-02-26 12:42:46.825,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6275.0,Bowl,AT&T
2026-02-26 12:42:58.856000-05:00,41.697959,-86.233152,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.673,2.952,2026-02-26 12:42:55.670,,Successful,Successful,Enabled,Send Picture,999084.0,WhatsApp Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6275.0,Bowl,AT&T
2026-02-26 12:43:26.844000-05:00,41.697985,-86.23337,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.313,1.999,2026-02-26 12:43:24.359,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:43:37.175000-05:00,41.697982,-86.233368,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.567,2.086,2026-02-26 12:43:34.564,,Successful,Successful,Enabled,Send Picture,998944.0,WhatsApp Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:45:57.862000-05:00,41.697961,-86.233354,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,0.298,14.043,2026-02-26 12:45:43.535,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:45:58.039000-05:00,41.697965,-86.233374,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,0.338,5.659,2026-02-26 12:45:51.820,,Successful,Successful,Enabled,Send Text,,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
2026-02-26 12:46:07.491000-05:00,41.697965,-86.233344,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,1.703,2.804,2026-02-26 12:46:04.426,,Successful,Successful,Enabled,Send Picture,999238.0,WhatsApp Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:46:08.610000-05:00,41.69796,-86.233384,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,1.838,2.356,2026-02-26 12:46:05.638,,Successful,Successful,Enabled,Send Picture,999423.0,WhatsApp Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
