Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Data Test,Data Test Action,Direction,Host,Resolved Target IP,Duration,Application Throughput,IP Throughput,Max IP Throughput,IP Throughput DL,Max IP Throughput DL,IP Throughput UL,Max IP Throughput UL,Bytes Transferred DL,Bytes Transferred UL,Test Name,Direction.1,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:07:23.315000-05:00,41.698855,-86.234461,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.493,1455.34,1222.0,8354.568,15638.816,47437.456,1222.0,8354.568,,999273.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6695.0,Bowl,Verizon
2026-02-26 12:07:47.311000-05:00,41.698845,-86.233373,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.238,1525.775,895.584,8325.872,7555.12,18383.024,895.584,8325.872,,999001.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:09:43.966000-05:00,41.698846,-86.233354,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,57.144.204.192,5.506,1451.747,1437.544,14267.888,17594.096,45952.56,1437.544,14267.888,,999165.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6055.0,Bowl,T-Mobile
2026-02-26 12:10:12.267000-05:00,41.698873,-86.234704,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,5.023,1590.879,961.856,6176.224,10044.216,22559.816,961.856,6176.224,,998873.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:10:12.494000-05:00,41.698859,-86.234642,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.139,1302.576,847.784,6720.52,4948.832,7130.096,847.784,6720.52,,999564.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:12:21.448000-05:00,41.698859,-86.233118,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,5.252,1522.075,1375.88,8128.2,19346.352,38784.416,1375.88,8128.2,,999242.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6055.0,Bowl,T-Mobile
2026-02-26 12:12:27.851000-05:00,41.698864,-86.234634,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,57.144.204.192,6.18,1293.517,761.008,8824.152,14197.744,70758.32,761.008,8824.152,,999242.0,Instagram,Send,Completed,Bowl,fbd516f0,Wi-Fi 6,LTE,6315.0,Bowl,AT&T
2026-02-26 12:14:36.296000-05:00,41.698866,-86.23314,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.518,1448.244,631.84,5932.312,10419.576,23987.672,631.84,5932.312,,998926.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:17:07.896000-05:00,41.698483,-86.233136,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,2A03:2880:F357:00C0:FACE:B00C:0000:43FE,5.264,1519.264,675.4,3370.12,8661.128,22527.576,675.4,3370.12,,999676.0,Instagram,Send,Completed,Bowl,a0654bd3,T-Mobile,NR,,Bowl,T-Mobile
2026-02-26 12:18:56.852000-05:00,41.698835,-86.233161,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.192,1290.7,769.856,8405.808,10462.296,23547.328,769.856,8405.808,,999002.0,Instagram,Send,Completed,Bowl,7c36e7df,Verizon,NR-NSA,,Bowl,Verizon
2026-02-26 12:19:05.283000-05:00,41.698473,-86.233171,20260226_preGame_Bowl,QualiPoc_361786,T-Mobile,5G NR,Instagram,Post Picture,SEND,,129.134.149.160,4.649,1719.537,1756.264,8805.48,32651.096,51402.768,1756.264,8805.48,,999266.0,Instagram,Send,Completed,Bowl,a0654bd3,Wi-Fi 6,NR,6675.0,Bowl,T-Mobile
2026-02-26 12:19:07.138000-05:00,41.698848,-86.233167,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,Instagram,Post Picture,SEND,,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,6.022,1327.002,840.56,9213.368,3072.616,4883.648,840.56,9213.368,,998901.0,Instagram,Send,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:21:10.503000-05:00,41.698832,-86.233179,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,Instagram,Post Picture,SEND,,57.144.204.192,5.403,1480.087,1155.464,5401.056,26704.704,51815.288,1155.464,5401.056,,999614.0,Instagram,Send,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6055.0,Bowl,Verizon
