Time,Latitude,Longitude,Unit,Operator,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size Of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,Data Technology Reporting,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap
2025-11-08 21:50:12.095000-05:00,41.69788,-86.233013,QualiPoc_361786,AT&T,3.249,2.586,3393.423047177104,315.0,457.0,394.1187798933037,127.0,1096.924,2,Android 14 - WebView 117.0.5938.60,Page download completed,20,0,0,enhancedphone,,10.12.22.147,142.251.32.14,youtube.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:13.778000-05:00,41.697347,-86.233952,QualiPoc_396840,Verizon,2.782,2.354,3384.5708984377684,251.0,377.0,413.1560475520391,35.0,995.911,3,Android 14 - WebView 117.0.5938.60,Page download completed,25,1,0,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2607:F8B0:4009:081C:0000:0000:0000:200E,youtube.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:50:16.473000-05:00,41.697888,-86.232949,QualiPoc_361786,AT&T,3.198,2.492,3473.1492776886003,439.0,555.0,423.458636022044,87.0,1081.886,2,Android 14 - WebView 117.0.5938.60,Page download completed,54,0,11,enhancedphone,,10.12.22.147,57.144.204.6,facebook.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:16.984000-05:00,41.697367,-86.233959,QualiPoc_396840,Verizon,2.057,1.692,5081.80141843972,212.0,341.0,654.7787595524013,41.0,1074.801,2,Android 14 - WebView 117.0.5938.60,Page download completed,54,0,11,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2A03:2880:F366:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:50:19.203000-05:00,41.697877,-86.23292,QualiPoc_361786,AT&T,1.569,1.038,6842.43618153984,319.0,401.0,835.2591747952793,13.0,887.807,2,Android 14 - WebView 117.0.5938.60,Page download completed,19,0,2,enhancedphone,,10.12.22.147,142.250.191.196,google.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:20.077000-05:00,41.697359,-86.233972,QualiPoc_396840,Verizon,1.938,1.236,5124.31102917564,370.0,505.0,625.5238357099512,32.0,791.703,2,Android 14 - WebView 117.0.5938.60,Page download completed,32,0,3,VZWINTERNET,,2600:1008:B053:2936:491B:092A:28DD:1AFD,2607:F8B0:4009:080B:0000:0000:0000:2004,google.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Concourse,7c36e7df,NaN,Verizon,LTE,,Concourse
2025-11-08 21:50:25.066000-05:00,41.697882,-86.232904,QualiPoc_361786,AT&T,4.688,0.934,32239.3319057816,295.0,400.0,867.9396952479336,115.0,3763.942,1,Android 14 - WebView 117.0.5938.60,Page download completed,113,0,13,enhancedphone,,10.12.22.147,146.75.82.133,247sports.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:31.931000-05:00,41.697926,-86.232964,QualiPoc_361786,AT&T,5.607,0.323,147067.19504644,603.0,707.0,1201.050108093418,201.0,5937.838,1,Android 14 - WebView 117.0.5938.60,Page download completed,261,0,57,enhancedphone,,10.12.22.147,2.16.234.41,ncaa.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:34.838000-05:00,41.697945,-86.232971,QualiPoc_361786,AT&T,1.737,1.088,7163.7365874536,413.0,643.0,874.4731229894306,90.0,974.261,1,Android 14 - WebView 117.0.5938.60,Page download completed,51,0,4,enhancedphone,,10.12.22.147,23.32.45.79,espn.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
2025-11-08 21:50:41.751000-05:00,41.697933,-86.232905,QualiPoc_361786,AT&T,5.659,0.949,32406.38145416224,495.0,650.0,762.2555123730967,219.0,3844.207,1,Android 14 - WebView 117.0.5938.60,Page download completed,205,0,8,enhancedphone,,10.12.22.147,69.147.65.251,sports.yahoo.com,HTTP,GET,default supl mms fota,ATT Enhancedphone,Browsing,Downlink,Completed,Concourse,a0654bd3,NaN,Wi-Fi 6,LTE,6135.0,Concourse
