Time,Latitude,Longitude,Collection,Unit,Operator,Technology,Browsing Duration,Download Duration,IP Throughput,Access Duration,Time To First Byte,Kbytes In First Second,Round Trip Time (RTT),Size of Webpage,Number of Redirections,Browser,Page Complete Criterion,Number of Resources,Number of Resources not loaded,Number of Images,APN,Primary DNS,IP,Resolved Target IP,Host,Protocol,Operation,AP Type,AP Profile Name,Test Name,Direction,Test Status,Location,uuid,operator,network_type*,wifi_connected_primary_freq_mhz,Location_sigcap,carrier_original
2026-02-26 12:45:05.480000-05:00,41.697958,-86.233356,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,2.202,1.675,21880.4723577896,269.0,472.0,2670.959654850742,63.0,4581.23,2,Android 16 - WebView 134.0.6998.135,Page download completed,31,0,2,enhancedphone,,2600:0382:AC07:8D8F:0855:6C2D:0103:2721,2A03:2880:F366:00C0:FACE:B00C:0000:43FE,instagram.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:45:14.456000-05:00,41.697958,-86.233356,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,7.748,6.909,4591.567624746295,551.0,733.0,560.4942941272255,55.0,3965.394,2,Android 16 - WebView 134.0.6998.135,Page download completed,198,0,10,enhancedphone,,10.148.63.55,23.192.220.203,tiktok.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:45:17.481000-05:00,41.697964,-86.233381,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,3.066,,,,,,62.0,3426.766,2,Android 14 - WebView 117.0.5938.60,Page download completed,33,0,6,VZWINTERNET,,10.12.217.172,57.144.204.192,instagram.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
2026-02-26 12:45:18.227000-05:00,41.697957,-86.233355,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,2.532,2.099,4706.740485378296,263.0,405.0,574.5537309433066,52.0,1234.932,2,Android 16 - WebView 134.0.6998.135,Page download completed,60,0,11,enhancedphone,,2600:0382:AC07:8D8F:0855:6C2D:0103:2721,2A03:2880:F366:0006:FACE:B00C:0000:14C9,facebook.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:45:22.165000-05:00,41.697963,-86.233381,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,3.483,2.828,9246.218465232,381.0,539.0,1128.6893895862793,65.0,3268.54,2,Android 14 - WebView 117.0.5938.60,Page download completed,135,0,6,VZWINTERNET,,10.12.217.172,23.209.94.82,tiktok.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
2026-02-26 12:45:22.963000-05:00,41.697958,-86.233349,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,3.573,3.032,27326.09534575624,320.0,552.0,3335.706242785293,84.0,10356.594,1,Android 16 - WebView 134.0.6998.135,Page download completed,258,0,67,enhancedphone,,2600:0382:AC07:8D8F:0855:6C2D:0103:2721,2600:1405:D400:0287:0000:0000:0000:3134,ncaa.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,LTE,,Bowl,AT&T
2026-02-26 12:45:26.316000-05:00,41.697964,-86.23338,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,2.962,2.413,3920.75352680896,344.0,532.0,478.6087080397842,32.0,1182.6,2,Android 14 - WebView 117.0.5938.60,Page download completed,59,0,11,VZWINTERNET,,10.12.217.172,57.144.204.6,facebook.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
2026-02-26 12:45:28.502000-05:00,41.697959,-86.233351,20260226_preGame_Bowl,QualiPoc_619529,AT&T,LTE,4.293,3.85,8708.129031823119,290.0,445.0,1063.0045150162305,54.0,4190.789,1,Android 16 - WebView 134.0.6998.135,Page download completed,212,0,33,enhancedphone,,2600:0382:AC07:8D8F:0855:6C2D:0103:2721,2001:4998:0060:0807:0000:0000:0000:0001,sports.yahoo.com,HTTP,GET,default supl mms,ATT Enhancedphone,Browsing,Downlink,Completed,Bowl,fbd516f0,AT&T,NR-NSA,,Bowl,AT&T
2026-02-26 12:45:32.527000-05:00,41.697964,-86.23338,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,5.039,4.442,17664.55703412824,389.0,574.0,2156.3205710406346,69.0,9808.257,1,Android 14 - WebView 117.0.5938.60,Page download completed,217,0,47,VZWINTERNET,,10.12.217.172,23.14.142.47,ncaa.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
2026-02-26 12:45:38.776000-05:00,41.697965,-86.233379,20260226_preGame_Bowl,QualiPoc_396840,Verizon,LTE,5.056,4.681,5998.371444908944,256.0,361.0,732.223892130421,67.0,3509.801,1,Android 14 - WebView 117.0.5938.60,Page download completed,199,0,9,VZWINTERNET,,10.12.217.172,69.147.65.251,sports.yahoo.com,HTTP,GET,default dun supl,Verizon Internet,Browsing,Downlink,Completed,Bowl,7c36e7df,Wi-Fi 6,LTE,6675.0,Bowl,Verizon
